feature,importance_mean,importance_std
dec_rate_diff,0.108806935461676,0.009860563164805802
ko_rate_diff,0.05853112897835607,0.008095453794538165
sub_rate_diff,0.04934675342546534,0.006496780757310624
kd_diff,0.045134757907566436,0.004017183402861435
str_diff,0.018919774322278714,0.0023653162113597835
ctrl_diff,0.017911891328707,0.006783787263279966
losses_diff,0.00686488824234791,0.0012913758001490447
wins_diff,0.006192769663252606,0.002281892059398557
sub_diff,0.0043419371326347215,0.0023348478925127704
f1_Reach,0.003827478424973918,0.001630112730841706
weight_diff,0.0013872889185947423,0.0019662218355372923
f2_Height,0.000981933987300676,0.0009369970069549053
td_diff,0.0009139161375297134,0.003387915436011012
sub_att_diff,0.0007969490259292722,0.0005055046747635129
f1_Height,0.00039532917887116217,0.000660756748648288
f1_Stance,7.863335232838331e-07,0.0009006558075194343
fight_year,0.0,0.0
f1_Height_missing,0.0,0.0
f1_Reach_missing,0.0,0.0
f2_Height_missing,0.0,0.0
f1_Weight_missing,0.0,0.0
f2_Weight_missing,0.0,0.0
f2_Reach_missing,-0.00011755686174298452,0.00019863639289126428
draws_diff,-0.00019147221293919214,0.0008830507962161148
Time Format,-0.00021466905187841334,0.0012576835037806126
f1_Weight,-0.00022371188739711556,0.0007369484891142667
f2_Weight,-0.00045882561088294026,0.0010420763196048852
Weight_Class,-0.0008991723839667287,0.0008211253696768118
f2_Reach,-0.0017456604218680006,0.0012857391715173736
sig_str_pct_diff,-0.001842772612003485,0.0013289679787327497
height_diff,-0.0038471367630581454,0.001257387628008384
f2_Stance,-0.004110951660146744,0.0011191082156801848
avg_fight_time_diff,-0.004387347893609128,0.0017671334433224497
reach_diff,-0.004639564371228144,0.0021116747490263596
